date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,27989.55,22107.202,50096.752
2025-11-02,16373.34,33825.112,50198.452000000005
2025-11-02,12648.14,37578.512,50226.652
2025-11-02,7646.688,42709.231400000004,50355.919400000006
2025-11-02,7396.268,42961.8614,50358.129400000005
2025-11-02,7335.018,43022.911400000005,50357.92940000001
2025-11-02,6399.518,43963.411400000005,50362.92940000001
2025-11-02,5686.358,44669.5814,50355.9394
2025-11-02,3904.958,46461.7814,50366.7394
2025-11-03,3904.958,43178.92340000001,47083.881400000006
2025-11-04,3904.958,40706.1648,44611.1228
2025-11-05,3794.713,42144.643800000005,45939.35680000001
2025-11-05,2780.0314,43183.33380000001,45963.36520000001
2025-11-06,3818.6981,40982.858,44801.5561
2025-11-07,3818.6981,42688.39020000001,46507.08830000001
2025-11-08,8982.7876,37092.3539,46075.1415
2025-11-08,6579.0436,39472.6759,46051.7195
2025-11-08,5770.5936,40262.5259,46033.1195
2025-11-08,4913.0736,41111.405900000005,46024.4795
2025-11-09,3818.6981,43507.231400000004,47325.929500000006
2025-11-10,3789.7631,44000.299000000006,47790.06210000001
2025-11-10,3730.6231,44063.434,47794.0571
2025-11-11,3730.6231,42185.0379,45915.661
2025-11-12,2022.3531,43452.551999999996,45474.905099999996
2025-11-12,1258.2531,44210.051999999996,45468.3051
2025-11-12,485.5531,44976.852,45462.405099999996
2025-11-13,5567.3546,38396.839499999995,43964.19409999999
2025-11-13,3726.6746,40133.239499999996,43859.914099999995
2025-11-13,3333.3546,40507.019499999995,43840.37409999999
2025-11-14,3333.3546,38690.0122,42023.366799999996
2025-11-15,1443.333,41141.45020000001,42584.783200000005
2025-11-15,0.344,42610.61340000001,42610.95740000001
