date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,38004.3047,12048.425089999999,50052.72979
2025-11-02,30004.6081,20118.159109999997,50122.76721
2025-11-02,24005.1735,26163.009809999996,50168.18330999999
2025-11-02,19005.1706,31146.686144999996,50151.856745
2025-11-02,15005.1619,35181.995661,50187.157561
2025-11-02,11005.151,39203.385561,50208.536561
2025-11-02,7505.163,42793.834161,50298.997161
2025-11-02,5006.1557,45307.992061,50314.147761
2025-11-02,2506.1495,47783.494535,50289.644035
2025-11-02,6.5851,50235.939235,50242.524334999995
2025-11-03,511.8451,45322.41918600001,45834.264286000005
2025-11-03,817.0951,45046.119186,45863.214286
2025-11-03,596.0274,45259.235146,45855.262546
2025-11-03,408.3574,45425.24514600001,45833.60254600001
2025-11-03,320.4174,45501.460146000005,45821.877546
2025-11-04,873.2174,42528.403281,43401.620681
2025-11-04,1287.0974,42133.403281,43420.500681
2025-11-04,1748.8974,41692.443281,43441.340681
2025-11-04,1535.7814,41895.379580999994,43431.16098099999
2025-11-04,1175.4934,42224.000581,43399.493981
2025-11-05,2216.8934,42785.569529,45002.462929
2025-11-05,3098.8534,41848.369529,44947.222929
2025-11-05,3600.4534,41314.369529,44914.822929
2025-11-05,3093.1126,41833.714529,44926.827129
2025-11-05,2764.4716,42176.103529,44940.575129
2025-11-06,3803.1383,39902.478229,43705.616529
2025-11-06,4145.5283,39571.132229,43716.660529
2025-11-06,3333.7783,40347.132229,43680.910529
2025-11-06,3001.5783,40669.332229,43670.910529
2025-11-06,2775.1833,40890.357229,43665.540529
2025-11-07,3788.0883,42385.362954000004,46173.45125400001
2025-11-07,4119.4353,42041.991954000005,46161.427254
2025-11-07,3343.5353,42850.541954,46194.077254
2025-11-07,3021.3353,43205.341954,46226.677254
2025-11-08,3021.3353,42801.330473,45822.665773
2025-11-09,3337.2953,43726.937127000005,47064.232427
2025-11-09,4155.5799,42889.377527000004,47044.957427
2025-11-09,3871.2799,43178.727527,47050.007427000004
2025-11-09,3560.9599,43497.187527,47058.147427
2025-11-09,3236.0599,43820.287527,47056.347427
2025-11-10,4068.2776,43493.398655000005,47561.676255000006
2025-11-10,3739.2776,43828.018655,47567.296255
2025-11-10,3420.8376,44155.218655,47576.056254999996
2025-11-11,3420.8376,41778.67092599999,45199.50852599999
2025-11-12,5481.1818,39276.303503999996,44757.485303999994
2025-11-12,7189.4518,37569.273504,44758.725304
2025-11-12,8734.8518,36035.673504,44770.525303999995
2025-11-12,9291.1518,35490.073504,44781.225304
2025-11-12,9769.2918,35012.553503999996,44781.845303999995
2025-11-12,11314.6918,33478.953504000005,44793.645304000005
2025-11-12,11870.9918,32933.353504000006,44804.345304
2025-11-12,13931.336,30900.573304000005,44831.909304
2025-11-12,14409.476,30423.05330400001,44832.52930400001
2025-11-12,14714.776,30130.25330400001,44845.02930400001
2025-11-12,15744.9481,29113.863204000005,44858.811304
2025-11-12,17453.2181,27406.833204000002,44860.051304
2025-11-12,18009.5181,26861.233204000004,44870.751304000005
2025-11-12,18487.6581,26383.713204000003,44871.371304
2025-11-12,16942.2581,27917.313204000005,44859.571304000005
2025-11-12,14881.9139,29950.093404000003,44832.007304
2025-11-12,14031.4139,30791.093404000003,44822.507304
2025-11-12,15576.8139,29257.493404000004,44834.307304
2025-11-12,16427.3139,28416.493404000004,44843.807304
2025-11-12,16983.6139,27870.893404000006,44854.507304000006
2025-11-12,17342.2189,27512.753404000006,44854.97230400001
2025-11-12,15281.8747,29545.533604000007,44827.40830400001
2025-11-12,13573.6047,31252.563604000006,44826.168304000006
2025-11-12,13878.9047,30959.763604000007,44838.668304000006
2025-11-12,13114.8047,31717.263604000007,44832.06830400001
2025-11-13,15147.5253,28539.030456,43686.555756
2025-11-13,16854.5553,26924.205456000003,43778.760756
2025-11-13,17621.5053,26200.705456000003,43822.210756
2025-11-13,17621.5053,26200.705456000003,43822.210756
2025-11-14,15629.2955,26954.773429,42584.068929
2025-11-14,14633.1906,27899.813028999997,42533.003629
2025-11-14,13987.2546,28521.711029,42508.965629
2025-11-14,14714.3046,27831.761028999994,42546.06562899999
2025-11-14,15197.0046,27378.161028999995,42575.165628999996
2025-11-14,14473.5046,28072.161029000003,42545.665629
2025-11-14,14416.4846,28128.381029000004,42544.86562900001
2025-11-14,13420.3797,29073.420629,42493.800329
2025-11-14,12774.4437,29695.318629,42469.762329000005
2025-11-14,12050.9437,30389.318629,42440.262329000005
2025-11-14,11568.2437,30842.918629,42411.162329
2025-11-14,11591.4517,30820.494629,42411.946329
2025-11-14,11644.4017,30770.704629,42415.106329
2025-11-14,10917.3517,31460.654629000004,42378.006329
2025-11-14,10860.3317,31516.874629000005,42377.20632900001
2025-11-14,8868.1219,33406.953829000005,42275.075729000004
2025-11-14,8545.1539,33717.902829000006,42263.056729
2025-11-14,7821.6539,34411.902829000006,42233.556729
2025-11-14,7017.1539,35167.902829000006,42185.056729
2025-11-14,6290.1039,35857.852829,42147.956729000005
2025-11-14,6313.3119,35835.428829,42148.740729
2025-11-14,6366.2619,35785.638829,42151.900729
2025-11-14,6553.1219,35611.758829000006,42164.880729000004
2025-11-14,6410.5719,35752.308829,42162.880729000004
2025-11-14,6410.5719,35752.308829,42162.880729000004
