date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,34999.8783,15066.058163,50065.936463
2025-11-02,22500.8363,27674.529323000002,50175.365623000005
2025-11-02,12502.3995,37748.654923,50251.054423
2025-11-02,5005.3025,45285.821923,50291.124423
2025-11-03,5005.3025,41733.014114000005,46738.316614
2025-11-04,5111.8605,39063.582775,44175.443275000005
2025-11-05,5111.8605,40480.374619999995,45592.23512
2025-11-06,5111.8605,39186.86653,44298.72703
2025-11-07,5111.8605,40847.388411,45959.248911
2025-11-08,5111.8605,40308.002101,45419.862601
2025-11-09,5111.8605,41678.758095,46790.618595
2025-11-10,5111.8605,42121.573634,47233.434134
2025-11-11,5111.8605,40069.356374999996,45181.216875
2025-11-12,5111.8605,39744.482533,44856.343033000005
2025-11-13,5111.8605,38117.916462,43229.776962
2025-11-14,4966.4505,36471.177508,41437.628008
