date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,30003.5062,20084.393017,50087.899217
2025-11-02,10062.3457,40200.138517,50262.484217
2025-11-02,7067.2849,43217.872117,50285.157017
2025-11-02,5654.8599,44625.685117,50280.545017000004
2025-11-03,11181.5514,36532.254366,47713.805766000005
2025-11-03,10993.4514,36698.654366,47692.105766
2025-11-03,10641.6914,37003.514366,47645.205766
2025-11-03,10523.9964,37106.984366000004,47630.98076600001
2025-11-03,10225.2964,37365.584366,47590.880766
2025-11-03,10149.5074,37434.854366,47584.361766
2025-11-03,10073.7184,37504.124366000004,47577.842766
2025-11-03,8085.5184,39252.324366,47337.842766
2025-11-04,8085.5184,36619.207055,44704.725455
2025-11-05,8085.5184,37944.9794,46030.4978
2025-11-06,8085.5184,36818.28485,44903.80325
2025-11-07,11398.9884,34882.640659000004,46281.629059000006
2025-11-07,8866.7259,37464.747408999996,46331.47330899999
2025-11-07,8090.8259,38273.297409,46364.123309
2025-11-08,8090.8259,37974.123619000005,46064.949519
2025-11-09,8625.4259,38801.123465,47426.549365
2025-11-09,7602.5701,39848.072965,47450.643065
2025-11-09,5902.3351,41639.53296499999,47541.86806499999
2025-11-09,5112.4351,42462.132965,47574.568065
2025-11-09,5034.8551,42541.747964999995,47576.603064999996
2025-11-10,11231.6528,36301.620945999995,47533.27374599999
2025-11-10,13023.1128,34518.375946,47541.488746
2025-11-10,9882.2859,37697.75734599999,47580.043245999994
2025-11-10,9059.7859,38534.307345999994,47594.093246
2025-11-10,8980.1759,38616.107346,47596.283246
2025-11-10,8891.3259,38707.057345999994,47598.383246
2025-11-10,9443.0259,38186.007346,47629.033246
2025-11-11,9518.7849,36533.61154499999,46052.39644499999
2025-11-11,7399.1973,38593.798545,45992.995845
2025-11-11,5615.9923,40302.06854499999,45918.060844999985
2025-11-11,4779.4423,41074.768545,45854.210845
2025-11-12,9930.3028,35628.27196700001,45558.574767000006
2025-11-12,11475.7028,34094.671967,45570.374767
2025-11-12,15404.7238,30168.502966999997,45573.226767
2025-11-12,14408.2238,31144.402966999998,45552.626766999994
2025-11-13,14408.2238,30047.175617999997,44455.399418
2025-11-14,14443.0358,28789.634131999992,43232.66993199999
2025-11-14,17431.3505,25954.51533199999,43385.865831999996
2025-11-14,19046.1905,24399.770331999993,43445.960832
2025-11-14,18322.6905,25093.770331999993,43416.460832
2025-11-14,18242.2405,25169.370331999995,43411.61083199999
2025-11-14,18299.2605,25113.150331999997,43412.410831999994
2025-11-15,13574.2065,30285.252098000004,43859.458598000005
2025-11-15,11086.2945,32818.292098000005,43904.58659800001
2025-11-15,9698.1945,34213.792098000005,43911.986598
2025-11-15,9947.1945,33962.092098,43909.286598
2025-11-15,9878.2095,34032.732098,43910.941598000005
