date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,34999.8783,15066.058163,50065.936463
2025-11-02,19999.8663,30197.395345999998,50197.261646
2025-11-02,4999.8829,45310.929620999996,50310.81252099999
2025-11-03,4999.8829,41850.249831,46850.132731
2025-11-04,4999.8829,39042.289938999995,44042.17283899999
2025-11-05,4999.8829,40495.603546,45495.486445999995
2025-11-06,4017.3042,40102.811594,44120.115794
2025-11-06,2142.9244,41916.599598,44059.523998000004
2025-11-06,98.1261,43871.343598,43969.469698
2025-11-07,5162.6511,40135.743114,45298.394214
2025-11-07,8476.1211,36702.033114000005,45178.15421400001
2025-11-07,8315.0211,36879.43311400001,45194.454214000005
2025-11-07,8261.8511,36937.033114000005,45198.884214000005
2025-11-08,8261.8511,36376.172579,44638.023679
2025-11-09,14142.8936,31720.322925999997,45863.216526
2025-11-09,9028.6146,36955.070426000006,45983.68502600001
2025-11-10,9787.759,36629.88991799999,46417.64891799999
2025-11-10,8180.7979,38229.460683,46410.258582999995
2025-11-11,8180.7979,36203.129562,44383.927462
2025-11-12,10305.8858,33846.06507999999,44151.95087999999
2025-11-12,15820.9857,28373.076088,44194.061788
2025-11-12,13091.0296,31066.509853000003,44157.539453000005
2025-11-12,8708.1199,35365.117661,44073.237560999994
2025-11-12,4439.6356,39585.923415,44025.559015
2025-11-12,2220.4506,41802.23078324,44022.68138323999
2025-11-12,1.2506,43976.76816644,43978.01876644
2025-11-13,1.2506,42172.081442619994,42173.33204261999
2025-11-14,1.2506,40171.56927624,40172.81987624
2025-11-15,1.2506,40683.59147408,40684.84207408
