date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,35120.9358,14944.468551999998,50065.404352
2025-11-02,22629.638,27545.127772,50174.765772
2025-11-02,20008.1934,30175.884809999996,50184.07820999999
2025-11-02,17009.4074,33197.37181,50206.77920999999
2025-11-02,14423.1795,35794.968045,50218.147545
2025-11-02,11933.4385,38306.506755,50239.945255
2025-11-02,8971.9045,41290.459755,50262.36425500001
2025-11-02,7481.8245,42791.819755000004,50273.64425500001
2025-11-02,7409.0296,42865.251991,50274.281591
2025-11-03,5156.9896,42086.628214,47243.617814
2025-11-03,3046.4296,43915.788214,46962.217814
2025-11-04,2631.4046,41503.339613,44134.744213
2025-11-04,2347.8662,41776.499212999996,44124.36541299999
2025-11-05,2347.8662,43207.179641999996,45555.04584199999
2025-11-06,2161.7272,42049.980846000006,44211.70804600001
2025-11-06,1663.1672,42536.175246000006,44199.34244600001
2025-11-06,3679.5542,40608.591246,44288.145446
2025-11-07,2717.2945,42863.00218920001,45580.29668920001
2025-11-07,2313.0512,43281.91480920001,45594.96600920001
2025-11-07,2200.7009,43398.99284920001,45599.693749200014
2025-11-08,1787.5737,43277.275370400006,45064.84907040001
2025-11-09,1331.8109,45321.035830400004,46652.8467304
2025-11-09,711.1709,45957.9558304,46669.1267304
2025-11-10,1850.4169,45148.371434,46998.788334
2025-11-11,1850.4169,43228.8796504,45079.296550399995
2025-11-12,1850.4169,42876.608316000005,44727.025216
2025-11-13,2122.1761,41006.358278,43128.534378
2025-11-14,3140.893,38169.612073200005,41310.50507320001
2025-11-14,2205.9067,39056.887773200004,41262.7944732
2025-11-14,2156.4926,39104.4629702,41260.9555702
2025-11-14,4037.5926,37300.0629702,41337.655570200004
2025-11-14,2045.3828,39190.14217019999,41235.52497019999
2025-11-15,1545.6668,40237.47293040001,41783.139730400006
2025-11-15,1048.9748,40746.08093040001,41795.05573040001
