date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,35010.8835,15055.004561999998,50065.888062
2025-11-02,22519.5857,27655.663781999996,50175.249482
2025-11-02,12523.0115,37727.912681999995,50250.924181999995
2025-11-02,5022.9325,45294.18118199999,50317.113681999996
2025-11-02,5.3325,50295.39718199999,50300.72968199999
2025-11-03,5.3325,46488.198656,46493.531156
2025-11-04,5.3325,43606.90079,43612.23329
2025-11-05,5.3325,45388.495639999994,45393.82813999999
2025-11-06,1043.9992,42779.75656,43823.75576
2025-11-07,1043.9992,44440.519534,45484.518734
2025-11-08,1043.9992,43862.232694,44906.231894
2025-11-09,1043.9992,45427.07241000001,46471.071610000006
2025-11-10,1043.9992,46278.593596,47322.592796
2025-11-11,1043.9992,44031.63771000001,45075.63691000001
2025-11-12,1043.9992,43691.849022,44735.848222
2025-11-13,1043.9992,42043.596148,43087.595347999995
2025-11-14,1043.9992,40201.795291999995,41245.79449199999
2025-11-15,2934.0208,38671.677728,41605.698528
2025-11-15,3628.0708,37973.927728,41601.998528000004
2025-11-15,5183.0158,36390.777728,41573.793528
