date,cash,stock_value,total_value
2025-11-01,50000.0,0,50000.0
2025-11-02,50278.8474,0,50278.8474
2025-11-03,47839.4786,0,47839.4786
2025-11-04,45229.7427,0,45229.7427
2025-11-05,46555.443,0,46555.443
2025-11-06,45241.7376,0,45241.7376
2025-11-07,46360.9256,0,46360.9256
2025-11-08,45884.8015,0,45884.8015
2025-11-09,47228.2653,0,47228.2653
2025-11-10,47830.311,0,47830.311
2025-11-11,46231.277,0,46231.277
2025-11-12,45741.1936,0,45741.1936
2025-11-13,44513.5448,0,44513.5448
2025-11-14,42377.804,0,42377.804
2025-11-15,42851.4623,0,42851.4623
